userId,latency_variance_score,unique_comment_ratio,max_duplicate_count,total_duplicates,circular_mean_hour,mean_hour_deviance,std_hour_deviance,unique_channel_count,reply_count,toplevel_count,reply_ratio
UC-EBcyOAennLG1GcFaKL7og,0.8889740923095402,0.0,0.0,0.0,-1.9716537113985275,0.7294207709168883,1.6855150616247419,0.0,2.0,0.0,4.0
UC-EIVU-l1sB8yEO8KfpkRgQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
UC-E_nblS0un4swcL8tgS6qA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,4.0
UC-E_u0tONL7jX233EX8yy1A,0.013160840552741138,0.0,0.0,0.0,-3.4364248332791902,-1.3213536844284295,-0.8438026104251336,1.0,19.0,7.0,8.444444444444445
UC-Ekcs3ss_AQ6U3la4Wkkng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-Ev4K7f5ab1Yn64Og1iV_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-EzdIsompamqS86hM6BoFw,0.012469927013970407,0.0,0.0,0.0,9.28161030114282,3.0534088803600157,1.6280975137704132,1.0,1.0,2.0,1.0
UC-F8NSzmVQXkWslsRr-RrTg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-FN5huU8hxNHCA18GC8Xag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,8.0
UC-FqRGmpYblBUFpcbWrCXRw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-GQbzCAEongrilghPP8sXw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-GThFw7X2moMfrgT4ZncJg,0.0011389008996194935,0.0,0.0,0.0,1.606130645050996,-1.4816870508583482,-1.2635234979720802,2.0,0.0,2.0,0.0
UC-GsSgh8ub66kVKOUB1fu7w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-H7m6xhJNwauKHzirPRlmw,1.1535336195683967,0.0,0.0,0.0,3.106130645050996,-1.9816870508583446,-1.2635234979720842,0.0,4.0,-2.0,0.0
UC-HdAfjkDj3XcoxNFKhVW_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-HjqnDrsUeZHR64XmyUnLg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
