userId,latency_variance_score,unique_comment_ratio,max_duplicate_count,total_duplicates,circular_mean_hour,mean_hour_deviance,std_hour_deviance,unique_channel_count,reply_count,toplevel_count,reply_ratio,communityId,communitySize,temporal_cocomment_partners,temporal_cocomment_total,temporal_cocomment_mean,temporal_cocomment_max
UC-2_8w8gwVT2w9uzu3tFxCw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,19.0,1730.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-2nfYlWwO0j7rcRWs9oqoA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-2o6jxVng1HrhkzLAbZFUg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2842.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-2pFMc1W2qD3it0hjPtAfA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-3-Y0E5TSdzfMtLmRH_8qA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2138.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-36JYR1Z8AB6Ck7qfpEOvw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3164.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-36p3v7z3QX7k8n0aBucqQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,19.0,1730.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-374lAtZmEeid8yGhQUWcQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-378lhkBKia0p4hzItjGvw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2257.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-39vniQDl36kjU9USR7cIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,1730.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-3Bf1bQDMEMTlNYE3B9NPw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1467.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-3HqT6F3nHJcfFr4yRQ2Yg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1730.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-3Nj6oYW1QqHjBmm3iL-oQ,0.030178316353819408,0.0,0.0,0.0,-6.036706861414862,0.541074558867193,0.12828496475369944,0.0,1.0,22.0,0.041666666666666664,19.0,1730.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-3PP_G2wsXPI0In8hr1z4A,0.0053690597162590736,0.0,0.0,0.0,4.37396363617145,-1.1636626710331508,-0.3703753801989125,1.0,1.0,5.0,0.14285714285714285,19.0,1730.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-3QaaQRSXycAO-CTOEczgA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,492.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-3gb8kTpiLsPn33nHT6F6w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,350.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-3kkk3jlqPWEapYwTzFhXw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1730.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-3rwZnz8xmpX4wByAA5CQw,0.01977678787875716,0.0,0.4054651081081643,1.0986122886681096,-11.686917993586583,-0.49300144871462637,-1.474085365230327,0.0,0.0,4.0,0.0,25.0,292.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
UC-3vP3XFcD_hM8WWgi6quCQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,306.0,-0.017447305927928522,-0.019368419121783144,-0.030889911166503924,-0.033685577746468166
