userId,unique_comment_ratio,max_duplicate_count,total_duplicates,circular_mean_hour,mean_hour_deviance,std_hour_deviance,commentCount,reply_count,toplevel_count,reply_ratio
UCC-DlNmxv34AE6sXQNYnlXg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCC-Xu1urqQTqX4OWrNC_KLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.017241379310344827,0.05
UCC-b5VmHTdLq5BmTNRduU1w,0.0,0.0,0.0,-7.415914581781384,2.545713324400402,1.7122268338048778,0.0,0.0,0.12068965517241378,0.0
UCC-jP_LIL00yt4pRQVMY9aQ,0.0,0.0,0.0,1.8485159479802178,0.02825891622545429,1.0476736805757474,-2.0,0.0,0.08620689655172414,0.0
UCC-qNme4p3_UnRFkw2ySeAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCC-vkSKC6T_DH66oBKqy69w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCC0PYKwfZleV0nLKHznCw9g,0.0,1.0,4.0,6.604810531948569,0.9126970499414186,1.9779087459149571,12.0,0.109375,0.20689655172413793,0.014583333333333335
UCC0QNiUBpYs0geaGDl1-HeQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0
UCC0fJwEM6ZXyiWd1opVCB8w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCC0k9DUZyExtonZH6lKxppw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.0
UCC0n0jZTb_7H83Y0OeNrAwQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.0
UCC0pSWkXKdHpdORaa9qXPFw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.0
UCC13rWLjLtKK6Jf_F0rIMzw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCC19Y50WtQEPfff_HRdmeKg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCC1Qa-Gh1cXGCAATMNbqdBQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.0
UCC1SXvUwgrkw4P5e8JmUjdA,0.0,0.0,0.0,-3.4574337295467323,3.4916996003493836,0.9407135517067124,8.0,0.234375,0.0,0.0
UCC1U85iKLmU86tfJrfiL6xQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCC1gCI5HBWeV0c3ausGTrhg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.017241379310344827,0.025
UCC1iV1FKzEgx_Fxd-jEFeHw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.017241379310344827,0.025
UCC1nRgVTJTyobWW7XFhn6fQ,0.0,0.0,0.0,2.978688559605793,-1.7159304132530424,-1.2010542592272648,-1.0,0.046875,0.05172413793103448,0.025
